Binomial	ID	year	popvalue
Thalasseus_sandvicensis	11188	1960	10022
Thalasseus_sandvicensis	11188	1961	11866
Thalasseus_sandvicensis	11188	1962	12347
Thalasseus_sandvicensis	11188	1963	4596
Thalasseus_sandvicensis	11188	1964	2267
Thalasseus_sandvicensis	11188	1965	875
Thalasseus_sandvicensis	11188	1966	1695
Thalasseus_sandvicensis	11188	1967	1200
Thalasseus_sandvicensis	11188	1968	1566
Thalasseus_sandvicensis	11188	1969	2036
Thalasseus_sandvicensis	11188	1970	2418
Thalasseus_sandvicensis	11188	1971	3489
Kobus_ellipsiprymnus	5022	1971	594
Thalasseus_sandvicensis	11188	1972	3976
Thalasseus_sandvicensis	11188	1973	4353
Thalasseus_sandvicensis	11188	1974	5324
Anaxyrus_canorus	931	1974	350
Thalasseus_sandvicensis	11188	1975	5042
Cervus_elaphus	11171	1975	5480
Phocoenoides_dalli	6424	1975	0
Orcinus_orca	6423	1975	0
Eschrichtius_robustus	6422	1975	0
Megaptera_novaeangliae	6421	1975	0
Balaenoptera_acutorostrata	6420	1975	0
Thalasseus_sandvicensis	11188	1976	5554
Kobus_ellipsiprymnus	5022	1976	1554
Anaxyrus_canorus	931	1976	390
Thalasseus_sandvicensis	11188	1977	5085
Phocoenoides_dalli	6424	1977	8
Orcinus_orca	6423	1977	1
Eschrichtius_robustus	6422	1977	0
Megaptera_novaeangliae	6421	1977	0
Balaenoptera_acutorostrata	6420	1977	1
Anaxyrus_canorus	931	1977	220
Thalasseus_sandvicensis	11188	1978	6106
Phocoenoides_dalli	6424	1978	6
Orcinus_orca	6423	1978	0
Eschrichtius_robustus	6422	1978	0
Megaptera_novaeangliae	6421	1978	0
Balaenoptera_acutorostrata	6420	1978	3
Anaxyrus_canorus	931	1978	320
Thalasseus_sandvicensis	11188	1979	6951
Cervus_elaphus	11176	1979	98
Anaxyrus_canorus	931	1979	110
Thalasseus_sandvicensis	11188	1980	8016
Cervus_elaphus	11176	1980	80
Cervus_elaphus	11171	1980	6670
Thalasseus_sandvicensis	11188	1981	9785
Cervus_elaphus	11176	1981	78
Anaxyrus_canorus	931	1981	95
Thalasseus_sandvicensis	11188	1982	9356
Cervus_elaphus	11176	1982	87
Brachyteles_arachnoides	9244	1982	21
Anaxyrus_canorus	931	1982	110
Thalasseus_sandvicensis	11188	1983	10733
Cervus_elaphus	11176	1983	92
Brachyteles_arachnoides	9244	1983	22
Thalasseus_sandvicensis	11188	1984	8855
Cervus_elaphus	11176	1984	54
Brachyteles_arachnoides	9244	1984	26
Thalasseus_sandvicensis	11188	1985	8680
Cervus_elaphus	11176	1985	58
Cervus_elaphus	11171	1985	6260
Brachyteles_arachnoides	9244	1985	27
Lutra_lutra	6426	1985	16
Thalasseus_sandvicensis	11188	1986	12100
Morus_bassanus	11181	1986	100
Cervus_elaphus	11176	1986	51
Brachyteles_arachnoides	9244	1986	31
Lutra_lutra	6426	1986	16
Anaxyrus_quercicus	934	1986	109
Anaxyrus_quercicus	933	1986	142
Thalasseus_sandvicensis	11188	1987	10635
Morus_bassanus	11181	1987	102
