Binomial	ID	year	popvalue
Pterocles_namaqua	6053	1950	47.5
Pterocles_namaqua	6053	1951	69.5
Pterocles_namaqua	6053	1952	5
Pterocles_namaqua	6053	1953	108
Pterocles_namaqua	6053	1954	175.3
Pterocles_namaqua	6053	1955	19
Pterocles_namaqua	6053	1956	30.2
Pterocles_namaqua	6053	1957	10.6
Pterocles_namaqua	6053	1958	56.1
Acrocephalus_sechellensis	2	1958	30
Pterocles_namaqua	6053	1959	16.4
Pterocles_namaqua	6053	1960	4
Pterocles_namaqua	6053	1961	1.6
Struthio_camelus	9820	1962	300
Pterocles_namaqua	6053	1962	72.5
Pterocles_namaqua	6053	1963	5.5
Pterocles_namaqua	6053	1964	13.5
Pterocles_namaqua	6053	1965	0
Leptoptilos_crumenifer	4715	1965	520
Leptoptilos_crumenifer	3498	1965	48
Pterocles_namaqua	6053	1966	0
Struthio_camelus	9948	1967	158
Acrocephalus_sechellensis	8745	1967	25
Pterocles_namaqua	6053	1967	33.7
Struthio_camelus	9959	1968	32
Struthio_camelus	9955	1968	58
Pterocles_namaqua	6053	1968	18.4
Pterocles_namaqua	6053	1969	30.3
Acrocephalus_sechellensis	8745	1970	40
Pterocles_namaqua	6053	1970	1
Pterocles_namaqua	6053	1971	2
Balearica_regulorum	4707	1971	97
Trigonoceps_occipitalis	27	1971	0.6
Torgos_tracheliotos	26	1971	0.5
Necrosyrtes_monachus	24	1971	4.1
Leptoptilos_crumenifer	22	1971	7.4
Gyps_africanus	21	1971	60
Acrocephalus_sechellensis	8745	1972	75
Pterocles_namaqua	6053	1972	4.3
Aquila_nipalensis	18874	1973	0
Circaetus_cinereus	18873	1973	0
Falco_tinnunculus	18872	1973	0.2
Falco_biarmicus	18871	1973	1.2
Circaetus_pectoralis	18859	1973	0.2
Elanus_caeruleus	18858	1973	0
Aquila_rapax	18857	1973	1.6
Terathopius_ecaudatus	18856	1973	1.1
Falco_rupicoloides	18855	1973	1.2
Torgos_tracheliotos	18854	1973	0.9
Gyps_africanus	18853	1973	1.2
Melierax_canorus	18852	1973	5.8
Polemaetus_bellicosus	18851	1973	0.5
Polihierax_semitorquatus	18850	1973	0.2
Sagittarius_serpentarius	18849	1973	2.3
Acrocephalus_sechellensis	8745	1973	205
Pterocles_namaqua	6053	1973	31
Psittacula_eques	25	1973	59
Falco_punctatus	5	1973	1
Aquila_nipalensis	18874	1974	0
Circaetus_cinereus	18873	1974	0
Falco_tinnunculus	18872	1974	0.2
Falco_biarmicus	18871	1974	1.5
Circaetus_pectoralis	18859	1974	0.2
Elanus_caeruleus	18858	1974	13.9
Aquila_rapax	18857	1974	0.9
Terathopius_ecaudatus	18856	1974	2.9
Falco_rupicoloides	18855	1974	4.8
Torgos_tracheliotos	18854	1974	0.7
Gyps_africanus	18853	1974	1.1
Melierax_canorus	18852	1974	21.8
Polemaetus_bellicosus	18851	1974	0.2
Polihierax_semitorquatus	18850	1974	3.4
Sagittarius_serpentarius	18849	1974	9.4
Pterocles_namaqua	6053	1974	0
Leptoptilos_crumenifer	4717	1974	120
Necrosyrtes_monachus	4706	1974	212
Milvus_migrans	4705	1974	212
Corvus_albus	4704	1974	735
Psittacula_eques	25	1974	59
Falco_punctatus	5	1974	1
