Binomial	ID	year	popvalue
Rhinoceros_unicornis	25559	1950	800
Rhinoceros_sondaicus	236	1953	40
Phascolarctos_cinereus	5688	1953	116
Equus_hemionus	218	1956	4000
Phascolarctos_cinereus	5686	1957	121
Rhinoceros_unicornis	25559	1957	400
Pteropus_mariannus	202	1958	3000
Phascolarctos_cinereus	5686	1958	134
Rhinoceros_sondaicus	236	1959	40
Rhinoceros_unicornis	25559	1959	300
Chalinolobus_tuberculatus	4929	1960	5
Equus_hemionus	218	1962	865
Phascolarctos_cinereus	5686	1962	128
Hemitragus_hylocrius	220	1963	400
Phascolarctos_cinereus	5686	1963	121
Rhinoceros_sondaicus	236	1964	27
Phascolarctos_cinereus	5686	1964	128
Phascolarctos_cinereus	5686	1965	121
Axis_porcinus	206	1966	1311
Bos_frontalis	207	1966	1
Bubalus_bubalis	209	1966	471
Rucervus_duvaucelii	211	1966	213
Rusa_unicolor	214	1966	120
Elephas_maximus	217	1966	349
Rhinoceros_unicornis	10848	1966	322
Rhinoceros_unicornis	18274	1966	366
Rhinoceros_unicornis	25559	1966	100
Petauroides_volans	107400	1966	1
Phascogale_tapoatafa	107870	1966	1
Equus_hemionus	218	1967	362
Phascolarctos_cinereus	5686	1967	116
Phascolarctos_cinereus	5687	1967	181
Petauroides_volans	107369	1967	26
Petauroides_volans	107375	1967	2
Petauroides_volans	107400	1967	1.5
Phascolarctos_cinereus	5686	1968	110
Phascolarctos_cinereus	5687	1968	200
Phascolarctos_cinereus	5688	1968	116
Rhinoceros_unicornis	25559	1968	108
Petauroides_volans	107369	1968	10
Petauroides_volans	107583	1968	3
Hemitragus_hylocrius	220	1969	300
Hemitragus_hylocrius	221	1969	439
Rhinoceros_sondaicus	236	1969	22
Phascolarctos_cinereus	5687	1969	191
Petauroides_volans	107434	1969	27
Petaurus_australis	107754	1969	2
Phascogale_tapoatafa	107851	1969	1
Phascogale_tapoatafa	107877	1969	1
Phascolarctos_cinereus	5688	1970	99
Petauroides_volans	107375	1970	2.5
Petauroides_volans	107395	1970	1
Petaurus_australis	107748	1970	7
Phascogale_tapoatafa	107877	1970	1
Phascolarctos_cinereus	4895	1971	46
Phascolarctos_cinereus	5686	1971	148
Petauroides_volans	107395	1971	2
Petauroides_volans	107426	1971	7
Pteropus_mariannus	202	1972	1000
Axis_porcinus	206	1972	4551
Bos_frontalis	207	1972	18
Bubalus_bubalis	209	1972	555
Rucervus_duvaucelii	211	1972	516
Rusa_unicolor	214	1972	105
Elephas_maximus	217	1972	422
Panthera_tigris	234	1972	1827
Rhinoceros_sondaicus	236	1972	44
Phascolarctos_cinereus	4895	1972	47
Rhinoceros_unicornis	10848	1972	510
Rhinoceros_unicornis	10853	1972	31
Rhinoceros_unicornis	18274	1972	658
Rhinoceros_unicornis	25559	1972	147
Petauroides_volans	107399	1972	1
Petauroides_volans	107426	1972	7
Petauroides_volans	107518	1972	17
Petauroides_volans	107557	1972	4
Capra_hircus	534	1973	450
Phascolarctos_cinereus	4895	1973	47
Phascolarctos_cinereus	5686	1973	110
Macropus_rufus	11747	1973	5.35
Macropus_rufus	11748	1973	3.85
Macropus_fuliginosus	11749	1973	4.15
Macropus_fuliginosus	11750	1973	2.6
Petauroides_volans	107432	1973	1
Panthera_pardus	230	1974	142
Phascolarctos_cinereus	4895	1974	55
Ovis_aries	5666	1974	12
Phascolarctos_cinereus	5686	1974	116
Panthera_leo	11107	1974	180
Hyaena_hyaena	11108	1974	63
Macropus_rufus	11747	1974	5.2
Macropus_rufus	11748	1974	4.47
Macropus_fuliginosus	11749	1974	4.4
Macropus_fuliginosus	11750	1974	3.2
Petauroides_volans	107488	1974	3
Petauroides_volans	107546	1974	1
Trichosurus_vulpecula	197	1975	5
Pteropus_mariannus	202	1975	100
Hemitragus_hylocrius	220	1975	450
Phascolarctos_cinereus	4895	1975	43
Macropus_rufus	11747	1975	6
Macropus_rufus	11748	1975	4.8
Macropus_fuliginosus	11749	1975	4.925
Macropus_fuliginosus	11750	1975	3.6
Petauroides_volans	107434	1975	93
Petaurus_australis	107754	1975	1
Phascogale_tapoatafa	107857	1975	2
Trichosurus_vulpecula	197	1976	3
Bubalus_bubalis	210	1976	63
Equus_hemionus	218	1976	720
Trachypithecus_poliocephalus	240	1976	280
Phascolarctos_cinereus	4895	1976	51
Macroderma_gigas	6258	1976	177
Rucervus_eldii	11200	1976	29
Macropus_rufus	11747	1976	6.125
Macropus_rufus	11748	1976	5.2
Macropus_fuliginosus	11749	1976	4.825
Macropus_fuliginosus	11750	1976	3.975
Bettongia_penicillata	18290	1976	0.9
Setonix_brachyurus	196	1977	73
Trichosurus_vulpecula	197	1977	4.5
Macaca_silenus	223	1977	600
Ovis_aries	226	1977	2157
Rhinoceros_sondaicus	236	1977	50
Phascolarctos_cinereus	4895	1977	36
Phascolarctos_cinereus	5687	1977	90
Macroderma_gigas	6258	1977	140.75
Macropus_rufus	11747	1977	6.33
Macropus_rufus	11748	1977	5.6
Macropus_fuliginosus	11749	1977	5.37
Macropus_fuliginosus	11750	1977	4.7
Bettongia_penicillata	18290	1977	1.9
Petauroides_volans	107435	1977	3
Petauroides_volans	107505	1977	9
Petauroides_volans	107561	1977	1
Phascogale_tapoatafa	107856	1977	1
Phascogale_tapoatafa	107857	1977	1
Phascogale_tapoatafa	107874	1977	1
Setonix_brachyurus	196	1978	129
Trichosurus_vulpecula	197	1978	4
Pteropus_mariannus	202	1978	50
Axis_porcinus	206	1978	6855
Bos_frontalis	207	1978	23
Bubalus_bubalis	209	1978	610
Rucervus_duvaucelii	211	1978	697
Rusa_unicolor	214	1978	215
Elephas_maximus	217	1978	773
Hemitragus_hylocrius	222	1978	301
Macaca_silenus	223	1978	825
Phascolarctos_cinereus	4895	1978	46
Phascolarctos_cinereus	5686	1978	81
Macroderma_gigas	6258	1978	84.75
Rhinoceros_unicornis	10848	1978	696
Panthera_tigris	11048	1978	1000
Macropus_rufus	11747	1978	6.35
Macropus_rufus	11748	1978	5.6
Macropus_fuliginosus	11749	1978	5.075
Macropus_fuliginosus	11750	1978	4.15
Rhinoceros_unicornis	18274	1978	939
Bettongia_penicillata	18290	1978	2.8
Rhinoceros_unicornis	25559	1978	310
Petauroides_volans	107435	1978	1
Petauroides_volans	107523	1978	1
Phascogale_tapoatafa	107878	1978	1
Setonix_brachyurus	196	1979	74
Trichosurus_vulpecula	197	1979	3.5
Axis_axis	205	1979	8431
Boselaphus_tragocamelus	208	1979	2036
Rusa_unicolor	215	1979	760
Gazella_bennettii	219	1979	330
Hemitragus_hylocrius	221	1979	515
Panthera_pardus	230	1979	161
Panthera_tigris	234	1979	3015
Tetracerus_quadricornis	239	1979	1042
Phascolarctos_cinereus	4895	1979	37
Presbytis_femoralis	5617	1979	47.2
Trachypithecus_obscurus	5621	1979	7.6
Macroderma_gigas	6258	1979	87
Panthera_leo	11107	1979	205
Hyaena_hyaena	11108	1979	84
Macropus_rufus	11747	1979	6.63
Macropus_rufus	11748	1979	5.4
Macropus_fuliginosus	11749	1979	5.27
Macropus_fuliginosus	11750	1979	3.97
Bettongia_penicillata	18290	1979	5.9
Petauroides_volans	107399	1979	5
Petauroides_volans	107478	1979	1
Petaurus_australis	107745	1979	3
Phascogale_tapoatafa	107860	1979	1
Phascogale_tapoatafa	107879	1979	1
Setonix_brachyurus	196	1980	123
Trichosurus_vulpecula	197	1980	2.5
Cervus_elaphus	213	1980	347
Hemitragus_hylocrius	221	1980	614
Phascolarctos_cinereus	4895	1980	38
Phascolarctos_cinereus	5686	1980	74
Macaca_mulatta	10366	1980	160
Macropus_rufus	11747	1980	6.525
Macropus_rufus	11748	1980	5.725
Macropus_fuliginosus	11749	1980	5.325
Macropus_fuliginosus	11750	1980	4.675
Bettongia_penicillata	18290	1980	11
Phascogale_tapoatafa	107880	1980	1
Phascogale_tapoatafa	107882	1980	1
Setonix_brachyurus	196	1981	101
Trichosurus_vulpecula	197	1981	2.75
Pteropus_mariannus	202	1981	925
Pteropus_poliocephalus	4890	1981	100
Phascolarctos_cinereus	4895	1981	35
Presbytis_femoralis	5618	1981	25.9
Presbytis_femoralis	5619	1981	41.7
Presbytis_femoralis	5620	1981	29.3
Trachypithecus_obscurus	5622	1981	14.8
Trachypithecus_obscurus	5623	1981	30.7
Trachypithecus_obscurus	5624	1981	4.5
Macaca_fascicularis	5626	1981	11
Hylobates_lar	5627	1981	5.9
Hylobates_lar	5628	1981	12.8
Hylobates_lar	5629	1981	5.2
Macaca_mulatta	10366	1981	201
Macropus_rufus	11747	1981	6.6
Macropus_rufus	11748	1981	5.6
Macropus_fuliginosus	11749	1981	5.47
Macropus_fuliginosus	11750	1981	4.3
Bettongia_penicillata	18290	1981	10.7
Petauroides_volans	107370	1981	1
Petauroides_volans	107465	1981	1
Petauroides_volans	107505	1981	4
Petauroides_volans	107520	1981	3
Petauroides_volans	107551	1981	1
Setonix_brachyurus	196	1982	46
Trichosurus_vulpecula	197	1982	2.25
Cervus_elaphus	213	1982	430
Panthera_tigris	231	1982	175
Rhinoceros_sondaicus	236	1982	50
Pteropus_poliocephalus	4890	1982	800
Phascolarctos_cinereus	4895	1982	25
Phascolarctos_cinereus	5686	1982	45
Phascolarctos_cinereus	5687	1982	90
Macaca_mulatta	10366	1982	244
Bettongia_penicillata	18290	1982	16.1
Burramys_parvus	100170	1982	22.22222222
Burramys_parvus	100171	1982	1.111111111
Petauroides_volans	107424	1982	1
Petauroides_volans	107432	1982	3
Petauroides_volans	107460	1982	6
Petauroides_volans	107473	1982	7
Petaurus_australis	107680	1982	1
Petaurus_australis	107744	1982	6
Petaurus_australis	107751	1982	2
Phascogale_tapoatafa	107879	1982	1
Phascogale_tapoatafa	107883	1982	1
Setonix_brachyurus	196	1983	101
Trichosurus_vulpecula	197	1983	5
Cervus_elaphus	213	1983	482
Equus_hemionus	218	1983	1989
Trachypithecus_francoisi	242	1983	4500
Phascolarctos_cinereus	4895	1983	24
Macaca_mulatta	10366	1983	286
Rucervus_eldii	11200	1983	78
Bettongia_penicillata	18290	1983	22.6
Burramys_parvus	100170	1983	15.55555556
Burramys_parvus	100171	1983	0
Petauroides_volans	107433	1983	6
Petauroides_volans	107488	1983	8
Petauroides_volans	107556	1983	2
Setonix_brachyurus	196	1984	68
Trichosurus_vulpecula	197	1984	3
Pteropus_mariannus	202	1984	462
Axis_porcinus	206	1984	9872
Bos_frontalis	207	1984	30
Bubalus_bubalis	209	1984	677
Rucervus_duvaucelii	211	1984	756
Cervus_elaphus	213	1984	554
Rusa_unicolor	214	1984	358
Elephas_maximus	217	1984	523
Panthera_pardus	230	1984	201
Panthera_tigris	234	1984	4005
Phascolarctos_cinereus	5686	1984	40
Hoolock_hoolock	5918	1984	221
Hoolock_hoolock	5936	1984	47
Hoolock_hoolock	5937	1984	320
Hoolock_hoolock	5938	1984	165
Macaca_mulatta	10366	1984	351
Rhinoceros_unicornis	10848	1984	745
Panthera_leo	11107	1984	239
Hyaena_hyaena	11108	1984	192
Rhinoceros_unicornis	18274	1984	946
Bettongia_penicillata	18290	1984	30.2
Burramys_parvus	100170	1984	16.19047619
Burramys_parvus	100171	1984	0.714285714
Petauroides_volans	107417	1984	6
Petauroides_volans	107418	1984	2
Petauroides_volans	107433	1984	6
Petauroides_volans	107437	1984	5
Petauroides_volans	107520	1984	3
Petauroides_volans	107522	1984	8
Petauroides_volans	107526	1984	4
Petauroides_volans	107563	1984	3.5
Petaurus_australis	107691	1984	2
Petaurus_australis	107706	1984	1
Petaurus_australis	107756	1984	2
Petaurus_australis	107757	1984	3
Petaurus_australis	107758	1984	1
Petaurus_australis	107759	1984	2
Petaurus_australis	107760	1984	2
Phascogale_tapoatafa	107883	1984	1
Phascogale_tapoatafa	107885	1984	2
Setonix_brachyurus	196	1985	54
Trichosurus_vulpecula	197	1985	2.5
Axis_axis	205	1985	10466
Boselaphus_tragocamelus	208	1985	2081
Rusa_unicolor	215	1985	772
