Binomial	ID	year	popvalue
Atelopus_ignescens	5797	1967	0.38
Aneides_aeneus	919	1970	95
Chiropterotriton_dimidiatus	21236	1971	15.4545
Chiropterotriton_multidentatus	21235	1971	29.9091
Ambystoma_cingulatum	4634	1971	7.9
Pseudoeurycea_nigromaculata	21241	1972	3.6702
Parvimolge_townsendi	21240	1972	0.8546
Thorius_pennatulus	21238	1972	1.6912
Chiropterotriton_dimidiatus	21236	1972	10.8182
Chiropterotriton_multidentatus	21235	1972	44.3636
Craugastor_bransfordii	19567	1973	30
Craugastor_talamancae	19553	1973	1
Hypopachus_pictiventris	19552	1973	8
Oophaga_pumilio	19551	1973	26
Strabomantis_biporcatus	19511	1973	3
Pseudoeurycea_nigromaculata	21241	1974	0.431
Parvimolge_townsendi	21240	1974	0.054
Thorius_pennatulus	21238	1974	5.8021
Chiropterotriton_dimidiatus	21236	1974	34.5455
Chiropterotriton_multidentatus	21235	1974	37.8182
Pseudoeurycea_unguidentis	21233	1974	2.3636
Pseudoeurycea_smithi	21230	1974	56.9091
Craugastor_bransfordii	19567	1974	44
Craugastor_talamancae	19553	1974	0
Hypopachus_pictiventris	19552	1974	6
Oophaga_pumilio	19551	1974	31
Strabomantis_biporcatus	19511	1974	3
Plethodon_jordani	956	1974	25
Pseudoeurycea_goebeli	25663	1975	3.07
Pseudoeurycea_rex	25662	1975	1.15
Pseudoeurycea_brunnata	25659	1975	1.69
Pseudoeurycea_brunnata	25657	1975	0.18
Dendrotriton_bromeliacius	21252	1975	20.688
Bolitoglossa_lincolni	21251	1975	5.2038
Bolitoglossa_morio	21250	1975	1.2489
Pseudoeurycea_brunnata	21249	1975	36.843
Pseudoeurycea_goebeli	21248	1975	64.2498
Dendrotriton_bromeliacius	21247	1975	2.8448
Bolitoglossa_lincolni	21246	1975	2.2897
Bolitoglossa_morio	21245	1975	0.9714
Pseudoeurycea_goebeli	21244	1975	4.6487
Bolitoglossa_rostrata	21243	1975	56.7563
Pseudoeurycea_rex	21242	1975	77.7797
Pseudoeurycea_unguidentis	21233	1975	6.7273
