Binomial	ID	year	popvalue
Uta_stansburiana	8954	1960	46
Uta_stansburiana	8955	1961	72
Uta_stansburiana	8954	1961	64
Uta_stansburiana	8955	1962	64
Uta_stansburiana	8954	1962	54
Uta_stansburiana	8955	1963	57
Uta_stansburiana	8954	1963	39
Uta_stansburiana	8955	1964	110
Uta_stansburiana	8954	1964	81
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8950	1966	74
Clemmys_guttata	10413	1967	127
Uta_stansburiana	8953	1967	50
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8951	1967	88
Uta_stansburiana	8950	1967	94
Uta_stansburiana	8953	1968	23
Uta_stansburiana	8952	1968	38
Uta_stansburiana	8951	1968	42
Uta_stansburiana	8950	1968	62
Cyclura_pinguis	264	1968	2.03
Uta_stansburiana	8953	1969	14
Uta_stansburiana	8952	1969	24
Uta_stansburiana	8951	1969	58
Uta_stansburiana	8950	1969	38
Uta_stansburiana	8953	1970	32
Uta_stansburiana	8952	1970	55
Uta_stansburiana	8951	1970	52
Uta_stansburiana	8950	1970	55
Anolis_apletophallus	17697	1971	4.37
Uta_stansburiana	8953	1971	30
Uta_stansburiana	8952	1971	57
Uta_stansburiana	8951	1971	18
Uta_stansburiana	8950	1971	44
Anolis_limifrons	2372	1971	80
Anolis_apletophallus	17697	1972	3.94
Clemmys_guttata	10413	1972	233
Uta_stansburiana	8953	1972	28
Uta_stansburiana	8952	1972	54
Uta_stansburiana	8951	1972	22
Uta_stansburiana	8950	1972	38
Anolis_limifrons	2372	1972	55
Sceloporus_scalaris	25478	1973	14
Anolis_apletophallus	17697	1973	3.7
Clemmys_guttata	10413	1973	222
Anolis_limifrons	2372	1973	40
Sceloporus_scalaris	25479	1974	26
Sceloporus_scalaris	25478	1974	23
Lacerta_agilis	23571	1974	4
Geochelone_gigantea	17745	1974	1235
Geochelone_gigantea	17744	1974	1998
Geochelone_gigantea	17743	1974	25738
Geochelone_gigantea	17742	1974	56776
Geochelone_gigantea	17741	1974	18227
Anolis_apletophallus	17697	1974	3.78
Clemmys_guttata	10413	1974	258
Vipera_berus	10410	1974	68.2969
Clemmys_insculpta	10409	1974	84
Anolis_limifrons	2372	1974	45
Sceloporus_scalaris	25479	1975	23
Lacerta_agilis	23571	1975	5.3
Anolis_apletophallus	17697	1975	3.24
Vipera_berus	10410	1975	41.6594
Clemmys_insculpta	10409	1975	82
Lampropeltis_getula	8781	1975	7
Leiolopisma_telfairii	8578	1975	738
Gongylomorphus_bojerii	8566	1975	738
Phelsuma_guentheri	8558	1975	127
Phelsuma_ornata	8557	1975	1789
Casarea_dussumieri	8552	1975	26
Anolis_limifrons	2372	1975	23
Cyclura_cornuta	263	1975	2000
Gongylomorphus_bojerii	180	1975	10.91
Phelsuma_ornata	179	1975	39.6
