Binomial	ID	year	popvalue
Makaira_nigricans	9139	1957	1.06
Makaira_nigricans	9138	1957	3.09
Phascolarctos_cinereus	5686	1957	121
Makaira_nigricans	9139	1958	3.97
Makaira_nigricans	9138	1958	1.26
Ciconia_ciconia	6852	1958	340
Phascolarctos_cinereus	5686	1958	134
Makaira_nigricans	9139	1959	1.17
Makaira_nigricans	9138	1959	1.32
Hippopotamus_amphibius	5680	1959	26515
Enhydra_lutris	4805	1959	3480
Makaira_nigricans	9139	1960	0.89
Makaira_nigricans	9138	1960	1.02
Egretta_garzetta	7160	1960	100
Makaira_nigricans	9139	1961	1.31
Makaira_nigricans	9138	1961	1.22
Makaira_nigricans	9139	1962	0.78
Makaira_nigricans	9138	1962	2.43
Phascolarctos_cinereus	5686	1962	128
Makaira_nigricans	9139	1963	0.56
Makaira_nigricans	9138	1963	1.55
Phascolarctos_cinereus	5686	1963	121
Makaira_nigricans	9139	1964	0.33
Makaira_nigricans	9138	1964	0.93
Phascolarctos_cinereus	5686	1964	128
Grus_grus	10437	1965	1102
Makaira_nigricans	9139	1965	0.22
Makaira_nigricans	9138	1965	0.67
Phascolarctos_cinereus	5686	1965	121
Enhydra_lutris	4805	1965	3147
Mareca_penelope	12536	1966	83.83
Grus_grus	10437	1966	618
Makaira_nigricans	9139	1966	0.16
Makaira_nigricans	9138	1966	0.55
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8950	1966	74
Mareca_penelope	12536	1967	93.81
Capreolus_capreolus	11496	1967	4.62
Grus_grus	10437	1967	1513
Makaira_nigricans	9139	1967	0.21
Makaira_nigricans	9138	1967	0.55
Uta_stansburiana	8953	1967	50
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8950	1967	94
Acrocephalus_sechellensis	8745	1967	25
Phascolarctos_cinereus	5687	1967	181
Phascolarctos_cinereus	5686	1967	116
Mormyrus_longirostris	5521	1967	90
Mareca_penelope	12536	1968	91.72
Capreolus_capreolus	11496	1968	5.55
Makaira_nigricans	9139	1968	0.21
Makaira_nigricans	9138	1968	0.58
Uta_stansburiana	8953	1968	23
Uta_stansburiana	8952	1968	38
Uta_stansburiana	8950	1968	62
Phascolarctos_cinereus	5687	1968	200
Phascolarctos_cinereus	5686	1968	110
Mareca_penelope	12536	1969	96.66
Capreolus_capreolus	11496	1969	6.23
Makaira_nigricans	9139	1969	0.21
Makaira_nigricans	9138	1969	0.65
Thalassarche_bulleri	8973	1969	20
Uta_stansburiana	8953	1969	14
Uta_stansburiana	8952	1969	24
Uta_stansburiana	8950	1969	38
Phascolarctos_cinereus	5687	1969	191
Mormyrus_longirostris	5521	1969	602
Podiceps_auritus	18102	1970	0.01
Mareca_penelope	12536	1970	99.61
Capreolus_capreolus	11496	1970	7.84
Grus_grus	10437	1970	3510
Makaira_nigricans	9139	1970	0.17
Makaira_nigricans	9138	1970	0.6
