Binomial	ID	year	popvalue
Plectrophenax_nivalis	12082	1959	20.171
Plectrophenax_nivalis	12082	1960	20.0022
Plectrophenax_nivalis	12082	1961	19.9466
Plectrophenax_nivalis	12082	1962	11.9022
Aptenodytes_forsteri	10190	1962	5652
Plectrophenax_nivalis	12082	1963	4.2546
Aptenodytes_forsteri	10190	1963	6246
Plectrophenax_nivalis	12082	1964	3.5192
Aptenodytes_forsteri	10190	1964	6006
Plectrophenax_nivalis	12082	1965	3.6336
Aptenodytes_forsteri	10190	1965	5029
Plectrophenax_nivalis	12082	1966	3.9179
Aptenodytes_forsteri	10190	1966	5780
Plectrophenax_nivalis	12082	1967	5.5622
Aptenodytes_forsteri	10190	1967	5865
Plectrophenax_nivalis	12082	1968	3.0703
Aptenodytes_forsteri	10190	1968	5398
Plectrophenax_nivalis	12082	1969	2.3348
Aptenodytes_forsteri	10190	1969	6106
Haemorhous_cassinii	13555	1970	0.632
Cardinalis_cardinalis	13554	1970	0.265
Calcarius_ornatus	13552	1970	34.5
Plectrophenax_nivalis	12082	1970	1.8826
Aptenodytes_forsteri	10190	1970	5596
Haemorhous_cassinii	13555	1971	0.62
Cardinalis_cardinalis	13554	1971	0.273
Calcarius_ornatus	13552	1971	36.8
Plectrophenax_nivalis	12082	1971	1.4304
Aptenodytes_forsteri	10190	1971	5823
Haemorhous_cassinii	13555	1972	0.612
Cardinalis_cardinalis	13554	1972	0.28
Calcarius_ornatus	13552	1972	38.7
Plectrophenax_nivalis	12082	1972	0.8649
Aptenodytes_forsteri	10190	1972	5002
Haemorhous_cassinii	13555	1973	0.607
Cardinalis_cardinalis	13554	1973	0.286
Calcarius_ornatus	13552	1973	39.8
Plectrophenax_nivalis	12082	1973	0.866
Aptenodytes_forsteri	10190	1973	5611
Haemorhous_cassinii	13555	1974	0.608
Cardinalis_cardinalis	13554	1974	0.29
Calcarius_ornatus	13552	1974	40.5
Plectrophenax_nivalis	12082	1974	1.0937
Aptenodytes_forsteri	10190	1974	5880
Platanista_minor	810	1974	525
Haemorhous_cassinii	13555	1975	0.614
Cardinalis_cardinalis	13554	1975	0.293
Calcarius_ornatus	13552	1975	40.9
Plectrophenax_nivalis	12082	1975	0.7549
Aptenodytes_forsteri	10190	1975	4790
Haemorhous_cassinii	13555	1976	0.626
Cardinalis_cardinalis	13554	1976	0.296
Calcarius_ornatus	13552	1976	41.3
Plectrophenax_nivalis	12082	1976	0.6994
Aptenodytes_forsteri	10190	1976	3572
Haemorhous_cassinii	13555	1977	0.646
Cardinalis_cardinalis	13554	1977	0.298
Calcarius_ornatus	13552	1977	41.8
Plectrophenax_nivalis	12082	1977	0.8138
Aptenodytes_forsteri	10190	1977	4507
Haemorhous_cassinii	13555	1978	0.673
Cardinalis_cardinalis	13554	1978	0.299
Calcarius_ornatus	13552	1978	42.4
Plectrophenax_nivalis	12082	1978	0.8149
Aptenodytes_forsteri	10190	1978	3473
Platanista_minor	810	1978	400
Haemorhous_cassinii	13555	1979	0.702
Cardinalis_cardinalis	13554	1979	0.3
Calcarius_ornatus	13552	1979	43
Plectrophenax_nivalis	12082	1979	0.646
Aptenodytes_forsteri	10190	1979	3459
Haemorhous_cassinii	13555	1980	0.725
Cardinalis_cardinalis	13554	1980	0.301
Calcarius_ornatus	13552	1980	42.8
Plectrophenax_nivalis	12082	1980	0.6471
Aptenodytes_forsteri	10190	1980	3261
Pygoscelis_papua	10150	1980	3809
Phacochoerus_africanus	10034	1980	2581
Platanista_minor	809	1980	346
Haemorhous_cassinii	13555	1981	0.733
Cardinalis_cardinalis	13554	1981	0.305
Calcarius_ornatus	13552	1981	41.3
Plectrophenax_nivalis	12082	1981	0.8183
Aptenodytes_forsteri	10190	1981	2553
Pygoscelis_papua	10150	1981	2580
Loxodonta_africana	10010	1981	4
Haemorhous_cassinii	13555	1982	0.719
Cardinalis_cardinalis	13554	1982	0.31
Calcarius_ornatus	13552	1982	38.1
Plectrophenax_nivalis	12082	1982	0.5927
Aptenodytes_forsteri	10190	1982	2808
Pygoscelis_papua	10167	1982	627
Loxodonta_africana	10010	1982	4
Platanista_minor	809	1982	360
Haemorhous_cassinii	13555	1983	0.683
Cardinalis_cardinalis	13554	1983	0.318
Calcarius_ornatus	13552	1983	33.7
Plectrophenax_nivalis	12082	1983	0.5371
Aptenodytes_forsteri	10190	1983	3304
Pygoscelis_papua	10167	1983	786
Pygoscelis_papua	10150	1983	1656
Loxodonta_africana	10010	1983	8
Haemorhous_cassinii	13555	1984	0.638
Cardinalis_cardinalis	13554	1984	0.328
Calcarius_ornatus	13552	1984	29
Plectrophenax_nivalis	12082	1984	0.4816
Aptenodytes_forsteri	10190	1984	2554
Pygoscelis_papua	10150	1984	3105
Loxodonta_africana	10010	1984	17
Platanista_minor	810	1984	600
Haemorhous_cassinii	13555	1985	0.596
Cardinalis_cardinalis	13554	1985	0.341
Calcarius_ornatus	13552	1985	25
Aptenodytes_forsteri	10190	1985	2356
Pygoscelis_papua	10150	1985	3522
Loxodonta_africana	10010	1985	40
Haemorhous_cassinii	13555	1986	0.561
Cardinalis_cardinalis	13554	1986	0.358
Calcarius_ornatus	13552	1986	22.2
Aptenodytes_forsteri	10190	1986	3291
Pygoscelis_papua	10150	1986	3410
Loxodonta_africana	10010	1986	45
Leptodactylus_mystaceus	6239	1986	0.165
Platanista_minor	810	1986	500
Haemorhous_cassinii	13555	1987	0.544
Cardinalis_cardinalis	13554	1987	0.377
Calcarius_ornatus	13552	1987	20.5
Aptenodytes_forsteri	10190	1987	2611
Loxodonta_africana	10010	1987	63
Haemorhous_cassinii	13555	1988	0.541
Cardinalis_cardinalis	13554	1988	0.4
Calcarius_ornatus	13552	1988	20.1
Aptenodytes_forsteri	10190	1988	2696
Pygoscelis_papua	10167	1988	1616
Loxodonta_africana	10010	1988	92
Batagur_baska	811	1988	3
Haemorhous_cassinii	13555	1989	0.55
Cardinalis_cardinalis	13554	1989	0.425
Calcarius_ornatus	13552	1989	20.2
Aptenodytes_forsteri	10190	1989	6035
Loxodonta_africana	10010	1989	126
Batagur_baska	811	1989	4
Platanista_minor	810	1989	500
Platanista_minor	809	1989	368
Haemorhous_cassinii	13555	1990	0.566
Cardinalis_cardinalis	13554	1990	0.452
Calcarius_ornatus	13552	1990	20.5
Aptenodytes_forsteri	10190	1990	3063
Loxodonta_africana	10010	1990	148
Leptodactylus_mystaceus	6239	1990	0.245
Batagur_baska	811	1990	10
Platanista_minor	809	1990	387
Haemorhous_cassinii	13555	1991	0.582
Cardinalis_cardinalis	13554	1991	0.48
Calcarius_ornatus	13552	1991	20.5
Aptenodytes_forsteri	10190	1991	2923
Loxodonta_africana	10010	1991	153
Batagur_baska	811	1991	4
Platanista_minor	809	1991	398
Haemorhous_cassinii	13555	1992	0.592
Cardinalis_cardinalis	13554	1992	0.508
Calcarius_ornatus	13552	1992	20
Aptenodytes_forsteri	10190	1992	2980
Loxodonta_africana	10010	1992	155
Batagur_baska	811	1992	0
Platanista_minor	809	1992	410
Haemorhous_cassinii	13555	1993	0.593
Cardinalis_cardinalis	13554	1993	0.535
Calcarius_ornatus	13552	1993	18.8
Pteronura_brasiliensis	11296	1993	0
Aptenodytes_forsteri	10190	1993	2597
