Binomial	ID	year	popvalue
Thunnus_albacares	19132	1950	997864.09
Capra_ibex	10714	1950	8
Capra_ibex	10713	1950	193
Capra_ibex	10696	1950	16
Capra_ibex	10695	1950	211
Capra_ibex	10694	1950	45
Platalea_leucorodia	7382	1950	0
Ciconia_ciconia	7381	1950	0
Phalacrocorax_carbo	7376	1950	0
Bubulcus_ibis	7375	1950	0
Ardea_alba	7373	1950	0
Thalasseus_sandvicensis	6902	1950	0
Sylvia_borin	6061	1950	3
Sylvia_atricapilla	6060	1950	3
Tringa_totanus	1903	1950	100
Hydroprogne_caspia	1857	1950	5
Lutjanus_campechanus	1467	1950	132412
Gadus_morhua	1438	1950	74
Gadus_morhua	1436	1950	133099.2
Gadus_morhua	1420	1950	243
Brevoortia_tyrannus	1407	1950	13992000
Brevoortia_tyrannus	1404	1950	3416600
Brevoortia_tyrannus	1390	1950	83.94
Salvelinus_namaycush	885	1950	62
Perca_flavescens	877	1950	0.6
Oncorhynchus_nerka	861	1950	0.206
Oncorhynchus_nerka	858	1950	86064
Oncorhynchus_nerka	856	1950	0.44
Oncorhynchus_nerka	852	1950	28576
Oncorhynchus_nerka	851	1950	7493
Thunnus_albacares	19132	1951	1009053.33
Capra_ibex	10714	1951	15
Capra_ibex	10713	1951	173
Capra_ibex	10696	1951	13
Capra_ibex	10695	1951	237
Capra_ibex	10694	1951	36
Platalea_leucorodia	7382	1951	0
Ciconia_ciconia	7381	1951	0
Phalacrocorax_carbo	7376	1951	0
Bubulcus_ibis	7375	1951	0
Ardea_alba	7373	1951	0
Thalasseus_sandvicensis	6902	1951	0
Platalea_leucorodia	6828	1951	0
Sylvia_borin	6061	1951	3
Sylvia_atricapilla	6060	1951	4
Lutjanus_campechanus	1467	1951	131178
Gadus_morhua	1438	1951	67.4
Gadus_morhua	1436	1951	142813.4
Gadus_morhua	1420	1951	266
Brevoortia_tyrannus	1407	1951	13145000
Brevoortia_tyrannus	1404	1951	2833300
Brevoortia_tyrannus	1390	1951	85.1
Salvelinus_namaycush	885	1951	50
Perca_flavescens	877	1951	15.228
Oncorhynchus_nerka	870	1951	200
Oncorhynchus_nerka	869	1951	59
Oncorhynchus_nerka	868	1951	400
Oncorhynchus_nerka	861	1951	0.13
Oncorhynchus_nerka	858	1951	54840
Oncorhynchus_nerka	857	1951	83
Oncorhynchus_nerka	856	1951	0.3
Oncorhynchus_nerka	852	1951	34069
Oncorhynchus_nerka	851	1951	58134
Thunnus_albacares	19132	1952	1018687.83
Capra_ibex	10714	1952	26
Capra_ibex	10713	1952	183
Capra_ibex	10696	1952	13
Capra_ibex	10695	1952	269
Capra_ibex	10694	1952	34
Platalea_leucorodia	7382	1952	0
Ciconia_ciconia	7381	1952	0
Phalacrocorax_carbo	7376	1952	0
Bubulcus_ibis	7375	1952	0
Ardea_alba	7373	1952	0
Egretta_garzetta	7239	1952	50
Ardea_cinerea	7070	1952	200
Thalasseus_sandvicensis	6902	1952	0
Platalea_leucorodia	6828	1952	0
Sylvia_borin	6061	1952	3
Sylvia_atricapilla	6060	1952	3
Lutjanus_campechanus	1467	1952	129419
Gadus_morhua	1438	1952	65.6
Gadus_morhua	1436	1952	169387
Gadus_morhua	1420	1952	315
Brevoortia_tyrannus	1407	1952	12028000
Brevoortia_tyrannus	1404	1952	2708300
Brevoortia_tyrannus	1390	1952	100.26
Salvelinus_namaycush	885	1952	32
Perca_flavescens	877	1952	18.252
Oncorhynchus_nerka	870	1952	650
Oncorhynchus_nerka	869	1952	44
Oncorhynchus_nerka	868	1952	100
Oncorhynchus_nerka	863	1952	150
Oncorhynchus_nerka	861	1952	0.03
Oncorhynchus_nerka	858	1952	20513
Oncorhynchus_nerka	857	1952	68
Oncorhynchus_nerka	856	1952	0.58
Oncorhynchus_nerka	852	1952	16672
Oncorhynchus_nerka	851	1952	261329
Thunnus_albacares	19132	1953	1028105.13
Capra_ibex	10714	1953	30
Capra_ibex	10713	1953	220
Capra_ibex	10696	1953	13
Capra_ibex	10695	1953	299
Capra_ibex	10694	1953	34
Platalea_leucorodia	7382	1953	0
Ciconia_ciconia	7381	1953	0
Phalacrocorax_carbo	7376	1953	0
Bubulcus_ibis	7375	1953	0
Ardea_alba	7373	1953	0
Thalasseus_sandvicensis	6902	1953	0
Platalea_leucorodia	6828	1953	0
Sylvia_borin	6061	1953	4
Sylvia_atricapilla	6060	1953	2
Lutjanus_campechanus	1467	1953	127086
Gadus_morhua	1438	1953	66
Gadus_morhua	1436	1953	190595.9
Gadus_morhua	1420	1953	342
Brevoortia_tyrannus	1407	1953	10949000
Brevoortia_tyrannus	1404	1953	2333300
Brevoortia_tyrannus	1390	1953	108.55
Salvelinus_namaycush	885	1953	31
Perca_flavescens	877	1953	11.196
Oncorhynchus_nerka	870	1953	1060
Oncorhynchus_nerka	869	1953	120
Oncorhynchus_nerka	868	1953	280
Oncorhynchus_nerka	863	1953	100
Oncorhynchus_nerka	861	1953	0.17
Oncorhynchus_nerka	858	1953	21006
Oncorhynchus_nerka	857	1953	70
Oncorhynchus_nerka	856	1953	0.43
Oncorhynchus_nerka	852	1953	87905
Oncorhynchus_nerka	851	1953	109341
Thunnus_albacares	19132	1954	1032605
Capra_ibex	10713	1954	230
Capra_ibex	10696	1954	13
Capra_ibex	10695	1954	323
Capra_ibex	10694	1954	36
Platalea_leucorodia	7382	1954	0
Ciconia_ciconia	7381	1954	0
Phalacrocorax_carbo	7376	1954	0
Bubulcus_ibis	7375	1954	0
Ardea_alba	7373	1954	0
Nycticorax_nycticorax	7015	1954	930
Cygnus_olor	7014	1954	15
Thalasseus_sandvicensis	6902	1954	0
Platalea_leucorodia	6828	1954	11
Sylvia_borin	6061	1954	2
Sylvia_atricapilla	6060	1954	3
Lutjanus_campechanus	1467	1954	124648
Gadus_morhua	1438	1954	65.2
Gadus_morhua	1436	1954	204652.7
Gadus_morhua	1420	1954	362
Brevoortia_tyrannus	1407	1954	10593000
Brevoortia_tyrannus	1404	1954	2250000
