Binomial	ID	year	popvalue
Melanogrammus_aeglefinus	1488	1950	132313
Melanogrammus_aeglefinus	1487	1950	122.7871
Melanogrammus_aeglefinus	1488	1951	99138
Melanogrammus_aeglefinus	1487	1951	90.50559
Melanogrammus_aeglefinus	1488	1952	56421
Melanogrammus_aeglefinus	1487	1952	70.50334
Ciconia_ciconia	1276	1952	222
Melanogrammus_aeglefinus	1488	1953	84483
Melanogrammus_aeglefinus	1487	1953	88.91434
Melanogrammus_aeglefinus	1488	1954	117623
Melanogrammus_aeglefinus	1487	1954	136.13791
Melanogrammus_aeglefinus	1488	1955	179348
Melanogrammus_aeglefinus	1487	1955	170.71693
Cygnus_olor	1287	1955	20300
Melanogrammus_aeglefinus	1488	1956	242800
Melanogrammus_aeglefinus	1487	1956	176.9061
Melanogrammus_aeglefinus	1488	1957	181530
Melanogrammus_aeglefinus	1487	1957	231.48049
Ciconia_ciconia	1277	1957	12701
Melanogrammus_aeglefinus	1488	1958	149812
Melanogrammus_aeglefinus	1487	1958	222.79732
Melanogrammus_aeglefinus	1488	1959	122211
Melanogrammus_aeglefinus	1487	1959	180.91181
Melanogrammus_aeglefinus	1488	1960	105067
Melanogrammus_aeglefinus	1487	1960	172.43947
Melanogrammus_aeglefinus	1486	1960	95
Melanogrammus_aeglefinus	1488	1961	121145
Melanogrammus_aeglefinus	1487	1961	151.40369
Melanogrammus_aeglefinus	1486	1961	82
Cygnus_olor	1287	1961	19000
Melanogrammus_aeglefinus	1488	1962	111076
Melanogrammus_aeglefinus	1487	1962	106.26758
Melanogrammus_aeglefinus	1486	1962	80
Bucephala_islandica	1274	1962	950
Melanogrammus_aeglefinus	1488	1963	74660
Melanogrammus_aeglefinus	1487	1963	135.75504
Melanogrammus_aeglefinus	1486	1963	142
Bucephala_islandica	1274	1963	1025
Melanogrammus_aeglefinus	1488	1964	58401
Melanogrammus_aeglefinus	1487	1964	427.86112
Melanogrammus_aeglefinus	1486	1964	214
Ciconia_ciconia	1276	1964	111
Bucephala_islandica	1274	1964	875
Melanogrammus_aeglefinus	1488	1965	90860
Melanogrammus_aeglefinus	1487	1965	560.99301
Melanogrammus_aeglefinus	1486	1965	1285
Bucephala_islandica	1274	1965	850
Myodes_glareolus	6285	1966	6.63333
Melanogrammus_aeglefinus	1488	1966	122068
Melanogrammus_aeglefinus	1487	1966	496.74906
Melanogrammus_aeglefinus	1486	1966	785
Bucephala_islandica	1274	1966	800
Myodes_glareolus	6285	1967	1.36667
Melanogrammus_aeglefinus	1488	1967	146029
Melanogrammus_aeglefinus	1487	1967	282.98844
Melanogrammus_aeglefinus	1486	1967	225
Myodes_glareolus	6286	1968	0.3
Myodes_glareolus	6285	1968	0.36667
Melanogrammus_aeglefinus	1488	1968	159426
Melanogrammus_aeglefinus	1487	1968	271.73602
Melanogrammus_aeglefinus	1486	1968	259
Bucephala_islandica	1274	1968	1050
Myodes_glareolus	6286	1969	1.16667
Myodes_glareolus	6285	1969	0.6
Melanogrammus_aeglefinus	1488	1969	171339
Melanogrammus_aeglefinus	1487	1969	869.53495
Melanogrammus_aeglefinus	1486	1969	794
Bucephala_islandica	1274	1969	790
Myodes_glareolus	6286	1970	5.86667
Myodes_glareolus	6285	1970	1.03333
Melanogrammus_aeglefinus	1488	1970	143476
Melanogrammus_aeglefinus	1487	1970	922.73487
Melanogrammus_aeglefinus	1486	1970	875
Bucephala_islandica	1274	1970	1100
Myodes_glareolus	6286	1971	3.06667
Myodes_glareolus	6285	1971	0.63333
Melanogrammus_aeglefinus	1488	1971	154338
Melanogrammus_aeglefinus	1487	1971	495.28142
Melanogrammus_aeglefinus	1486	1971	404
Myodes_glareolus	6288	1972	2.45
Myodes_glareolus	6286	1972	0.2
Myodes_glareolus	6285	1972	0.73333
Melanogrammus_aeglefinus	1488	1972	116282
Melanogrammus_aeglefinus	1487	1972	361.90249
Melanogrammus_aeglefinus	1486	1972	290
Phoenicopterus_roseus	23102	1973	0
Cygnus_olor	23100	1973	0
Spatula_clypeata	23099	1973	0
Tadorna_tadorna	23098	1973	0
Mareca_strepera	23094	1973	0
Myodes_glareolus	6289	1973	17.67
Myodes_glareolus	6288	1973	2.525
Myodes_glareolus	6287	1973	16.525
Myodes_glareolus	6286	1973	0.6
Myodes_glareolus	6284	1973	3.875
Melanogrammus_aeglefinus	1488	1973	107455
Melanogrammus_aeglefinus	1487	1973	340.68011
Melanogrammus_aeglefinus	1486	1973	283
Myodes_glareolus	6289	1974	16.38
Myodes_glareolus	6288	1974	8
Myodes_glareolus	6287	1974	18.125
Myodes_glareolus	6284	1974	1.25
Melanogrammus_aeglefinus	1488	1974	190152
Melanogrammus_aeglefinus	1487	1974	303.84766
Melanogrammus_aeglefinus	1486	1974	246
Cygnus_olor	1288	1974	57676
Cygnus_olor	1286	1974	14151
Cygnus_olor	1284	1974	40208
Cygnus_cygnus	1283	1974	139
Cygnus_cygnus	1282	1974	12844
Cygnus_columbianus	1281	1974	4217
Ciconia_ciconia	1279	1974	5763
Ciconia_ciconia	1277	1974	7343
Ciconia_ciconia	1276	1974	40
Ciconia_ciconia	1275	1974	4032
Bucephala_islandica	1274	1974	775
Bucephala_clangula	1272	1974	57262
Bucephala_clangula	1271	1974	47585
Bucephala_clangula	1269	1974	56765
Prionace_glauca	19629	1975	11.621
Gavia_pacifica	12117	1975	0.6033
Circus_aeruginosus	7063	1975	9
Myodes_glareolus	6289	1975	7.49
Myodes_glareolus	6288	1975	3.225
Myodes_glareolus	6287	1975	16
Myodes_glareolus	6284	1975	0.75
Melanogrammus_aeglefinus	1488	1975	228037
Melanogrammus_aeglefinus	1487	1975	279.60372
Melanogrammus_aeglefinus	1486	1975	225
Cygnus_olor	1288	1975	47400
Cygnus_olor	1286	1975	14100
Cygnus_olor	1284	1975	39817
Cygnus_cygnus	1283	1975	42
Cygnus_cygnus	1282	1975	13405
Cygnus_columbianus	1281	1975	5575
Bucephala_islandica	1274	1975	565
Bucephala_clangula	1273	1975	0.37
Bucephala_clangula	1272	1975	59532
Bucephala_clangula	1271	1975	47717
Bucephala_clangula	1269	1975	56109
Desmognathus_ochrophaeus	940	1975	14
Gulosus_aristotelis	23103	1976	11
Prionace_glauca	19629	1976	9.678
Gavia_pacifica	12117	1976	0.2196
Lonchura_atricapilla	8919	1976	140.26
Todiramphus_cinnamominus	8918	1976	8.455
Myzomela_rubratra	8917	1976	28.259
Alopecoenas_xanthonurus	8916	1976	17.835
Myodes_glareolus	6289	1976	6.555
Myodes_glareolus	6288	1976	7.4
Myodes_glareolus	6287	1976	25.175
Myodes_glareolus	6284	1976	2.5
