"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Aipysurus_apraefrontalis","Aipysurus_apraefrontalis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343252037656094,-0.343252037656094,0.343252037656094,0.343252037656094,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_foliosquama","Aipysurus_foliosquama",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49856577806656,-0.49856577806656,0.426021906413877,0.426021906413877,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_fuscus","Aipysurus_fuscus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.149081677506189,0.149081677506189,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_laevis","Aipysurus_laevis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblyrhynchus_cristatus","Amblyrhynchus_cristatus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0130631795601439,-0.0165114996942282,-0.328213264736369,0.0186369480261424,0.0171163214215269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caretta_caretta","Caretta_caretta",666,1,0.0374402732184471,0.0364746777923803,0.0216992827953346,0.00606540592218674,0.0041322526837683,0.00222216416898968,0.000377116299216477,-0.016941765151348,-0.0179782799298441,-0.0226851665730543,-0.022935644539063,-0.0187126169014517,-0.0149117983089524,-0.0175275607597345,0.00171512949832798,-0.00451985082003767,0.0502467479305185,-0.0523700970803211,0.0114937228678688,0.00980372758346858,0.00712558640258187,0.00578158888985532,0.00622444382855488,0.00251981328955227,0.00296680206387206,-0.00735003052803284,-0.00524905033238384,0.0271049205365982,0.0183359818255709,0.0205596808833404,0.00139588639958643,-0.031033459519034,0.00692384395608447,-0.0768013515104595,0.0508649474837338,0.0731149041490848,0.155014727711845,-0.00697620777597722,0.0430094767005589,0.00542200703252566,0.0250099035385263,0.0309215522209112,0.0494801188085753,0.00670351884600517,0.032184657679683,0.0321285023681461
"Chelonia_mydas","Chelonia_mydas",727,1,-0.00849217478292038,0.00361633599298772,0.00344326203187926,0.0114190829637598,0.0119145104294666,0.0120929192015474,0.0174979350637227,0.0292895199127619,0.0203005495373864,0.0188221520319402,0.0272466900839356,0.0106741563057698,0.0201864399730741,0.0217305642212492,0.00346971916877065,0.0192308344714735,0.0292441374822997,-0.0360603134639503,0.0332987152612101,0.0330502271852491,0.0334961195377451,0.003768403877217,0.0119748794502372,0.0219221832267034,-0.0184791791247452,-0.0406072901910399,-0.0348125594741159,0.0758342781229921,-0.0344614460619745,0.053671169806426,-0.0994960351755631,0.072897414469813,-0.0579474043099415,0.0770078663904327,-0.027458614899235,0.0584328470670648,-0.191915047073071,0.28897150506852,-0.163788250110901,0.073713534009159,0.256533093092016,NA,0,NA,NA,NA
"Crocodylus_acutus","Crocodylus_acutus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569716761534185,0.0569716761534182,0.0621479067488446,-0.0546002544127477,-0.0546002544127475,-0.0546002544127475,-0.0546002544127474,-0.0546002544127476,0.150514997831991,0.150514997831991,-0.225772496747986,-0.225772496747986,-0.225772496747986,-0.225772496747986,NA,NA,NA,NA,NA,NA,NA,NA
"Dermochelys_coriacea","Dermochelys_coriacea",573,1,0.0748106359969533,0.0735494466441364,0.0818017447084188,0.0685351826929835,0.0643302384573667,0.0598286497548101,0.054888194624998,0.0493149523066391,0.0426930539868786,0.0387562412695302,0.0362686195663946,0.0338931128837795,0.0310848023799747,0.0272884152930512,0.00547265356857749,-0.0062966298572518,-0.0223790465943994,-0.0236984450707903,-0.0230898474936878,-0.0290917553204212,-0.0506570791221035,-0.0305554321048192,-0.00856124797191166,-0.0212404009442512,-0.0125249809486318,0.019586825756122,0.0540341602814593,0.0449880053088422,0.0460665285906055,0.0297908061030786,0.0129766820954913,0.0398166404094619,-0.0139426559070992,-0.0278375806582299,0.0697818908225915,0.078055718200046,0.00924291793119947,-0.0217233023900942,0.0845373011893067,-0.136834932606017,-0.00844983474521088,-0.00401889992172233,NA,NA,NA,NA
"Emydocephalus_annulatus","Emydocephalus_annulatus",13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344365380175378,0.344365380175378,-0.110062678276811,-0.110062678276811,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.167036245636008,-0.157069880563925,-0.0029454919745906,-0.000353877246039525,-0.0388116153364467,-0.11173197495237,-0.188319772015472,-0.234037746802702,NA,NA,NA,NA,NA
