Binomial	ID	year	popvalue
Alligator_sinensis	1366	1955	17
Terrapene_carolina	1077	1955	291
Dermochelys_coriacea	8957	1956	12000
Dermochelys_coriacea	8957	1957	9600
Desmognathus_fuscus	8615	1957	15
Dermochelys_coriacea	8957	1958	8900
Dermochelys_coriacea	8957	1959	8200
Dermochelys_coriacea	8957	1960	7700
Uta_stansburiana	8954	1960	46
Dermochelys_coriacea	8957	1961	7000
Uta_stansburiana	8955	1961	72
Uta_stansburiana	8954	1961	64
Dermochelys_coriacea	8957	1962	6300
Uta_stansburiana	8955	1962	64
Uta_stansburiana	8954	1962	54
Pulchrana_signata	720	1962	183
Pulchrana_signata	719	1962	67
Pulchrana_signata	718	1962	50
Limnonectes_ibanorum	717	1962	129
Limnonectes_ibanorum	716	1962	92
Limnonectes_ibanorum	715	1962	132
Odorrana_hosii	714	1962	28
Odorrana_hosii	713	1962	35
Odorrana_hosii	712	1962	36
Chalcorana_chalconota	711	1962	97
Chalcorana_chalconota	710	1962	77
Chalcorana_chalconota	709	1962	77
Limnonectes_blythii	708	1962	205
Limnonectes_blythii	707	1962	208
Limnonectes_blythii	706	1962	185
Rentapia_hosii	705	1962	50
Rentapia_hosii	704	1962	37
Rentapia_hosii	703	1962	30
Ingerophrynus_divergens	702	1962	0
Ingerophrynus_divergens	701	1962	40
Phrynoidis_aspera	700	1962	52
Phrynoidis_aspera	699	1962	82
Phrynoidis_aspera	698	1962	83
Meristogenys_phaeomerus	697	1962	214
Meristogenys_phaeomerus	696	1962	62
Meristogenys_phaeomerus	695	1962	56
Dermochelys_coriacea	8957	1963	5500
Uta_stansburiana	8955	1963	57
Uta_stansburiana	8954	1963	39
Desmognathus_fuscus	8615	1963	17
Podocnemis_expansa	1089	1963	34300
Pseudemydura_umbrina	672	1963	53
Pseudemydura_umbrina	671	1963	22
Dermochelys_coriacea	8957	1964	4800
Uta_stansburiana	8955	1964	110
Uta_stansburiana	8954	1964	81
Pseudemydura_umbrina	672	1964	75
Pseudemydura_umbrina	671	1964	23
Caretta_caretta	15321	1965	386.79
Dermochelys_coriacea	15313	1965	35.22
Dermochelys_coriacea	8957	1965	4200
Salamandra_salamandra	4885	1965	40
Salamandra_salamandra	4884	1965	37
Alligator_sinensis	1366	1965	16
Podocnemis_expansa	1089	1965	13800
Terrapene_carolina	1077	1965	230
Pseudemydura_umbrina	673	1965	200
Pseudemydura_umbrina	672	1965	97
Pseudemydura_umbrina	671	1965	18
Caretta_caretta	15321	1966	364.12
Dermochelys_coriacea	15313	1966	10.44
Dermochelys_coriacea	8957	1966	3300
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8950	1966	74
Salamandra_salamandra	4885	1966	45
Salamandra_salamandra	4884	1966	89
Lepidochelys_kempii	2037	1966	6000
Pseudemydura_umbrina	672	1966	102
